video_id,comment_id,is_reply,reply_to,comment_lenght,comment,author,channel_id,comment_publishedAt,seconds_after_video,seconds_after_comment,subscriberCount,videoCount,viewCount,bot
rPXasD5We5k,UCPX0gLduKAfgr-HJENa7CFw_0,0,,135,,@renatocariani,UCPX0gLduKAfgr-HJENa7CFw,2025-06-18T20:11:05Z,-6695,,7870000,5067,1584063012,0
rPXasD5We5k,UCkV60c0paOjR_nGCcItXsog_1,1,UCPX0gLduKAfgr-HJENa7CFw_0,135,,@jeremiasrt82,UCkV60c0paOjR_nGCcItXsog,2025-06-18T23:31:23Z,5323,12018,0,0,0,0
rPXasD5We5k,UC2cknDhF-gSB69LXMBobDWw_2,1,UCPX0gLduKAfgr-HJENa7CFw_0,135,,@angleysonleal381,UC2cknDhF-gSB69LXMBobDWw,2025-06-19T15:31:20Z,62920,69615,0,0,0,0
rPXasD5We5k,UCqro92g2VJC4hLhvooDFLpQ_3,0,,53,,@alcidesferreiraiii,UCqro92g2VJC4hLhvooDFLpQ,2025-06-20T04:11:02Z,108502,,67,16,32463,0
rPXasD5We5k,UC4LrHzGE42vYtL3NEH3LHuw_4,1,UCqro92g2VJC4hLhvooDFLpQ_3,53,,@gabriel0hz831,UC4LrHzGE42vYtL3NEH3LHuw,2025-06-20T15:22:23Z,148783,40281,12,7,73,0
rPXasD5We5k,UCgWE3QMJpZHbun1f2Gr1d8Q_5,0,,18,,@patricia9854,UCgWE3QMJpZHbun1f2Gr1d8Q,2025-06-19T18:48:07Z,74727,,123,0,0,0
rPXasD5We5k,UCYsqP2E7OX3L57PTPDSgESA_6,1,UCgWE3QMJpZHbun1f2Gr1d8Q_5,18,,@ruanqueiroz575,UCYsqP2E7OX3L57PTPDSgESA,2025-06-19T22:08:19Z,86739,12012,0,0,0,0
rPXasD5We5k,UCaxQB9LCzmzXe_4KHDZVhRQ_7,0,,32,,@antonygomesferreira6851,UCaxQB9LCzmzXe_4KHDZVhRQ,2025-06-19T17:40:16Z,70656,,0,0,0,0
rPXasD5We5k,UCJ6HV0avwmw8_3er6gpV1qA_8,1,UCaxQB9LCzmzXe_4KHDZVhRQ_7,32,,@alexandrecosta9855,UCJ6HV0avwmw8_3er6gpV1qA,2025-06-20T13:46:20Z,143020,72364,14,0,0,0
rPXasD5We5k,UClMvytidR4rys3PyzjYqYVw_9,0,,69,,@marcelomiranda5652,UClMvytidR4rys3PyzjYqYVw,2025-06-19T16:57:50Z,68110,,0,0,0,0
rPXasD5We5k,UC_TUTthrWTgdxzfijlunQJw_10,1,UClMvytidR4rys3PyzjYqYVw_9,69,,@mikemt9728,UC_TUTthrWTgdxzfijlunQJw,2025-06-19T17:45:23Z,70963,2853,3,0,0,0
rPXasD5We5k,UCZrIU5IO5XnuOFlBNyetP5g_11,0,,38,,@Erickpgomez,UCZrIU5IO5XnuOFlBNyetP5g,2025-06-19T14:33:51Z,59471,,50,5,549,0
rPXasD5We5k,UCJmDVeknZeDfqmJz_ep0pPQ_12,1,UCZrIU5IO5XnuOFlBNyetP5g_11,38,,@KarlosDanniel-m8f,UCJmDVeknZeDfqmJz_ep0pPQ,2025-06-19T19:33:12Z,77432,17961,1,0,0,0
rPXasD5We5k,UCQeDRT6mCDaR3H26aRCHisQ_13,0,,138,,@alexjp6880,UCQeDRT6mCDaR3H26aRCHisQ,2025-06-19T12:48:03Z,53123,,2,0,0,0
rPXasD5We5k,UCMmZj0x03lyhzajw8apVRZw_14,1,UCQeDRT6mCDaR3H26aRCHisQ_13,138,,@LucasAlmeidaMG,UCMmZj0x03lyhzajw8apVRZw,2025-06-20T13:15:10Z,141150,88027,2780,14,49976,0
rPXasD5We5k,UCXvhlRQN6o3nP0lWBu49sLg_15,0,,148,,@FailForDay,UCXvhlRQN6o3nP0lWBu49sLg,2025-06-19T12:35:02Z,52342,,18,12,42984,0
rPXasD5We5k,UC_wGikr2S01lI56ViXqod7A_16,1,UCXvhlRQN6o3nP0lWBu49sLg_15,148,,@sarah.rochaa,UC_wGikr2S01lI56ViXqod7A,2025-06-20T12:01:56Z,136756,84414,1,0,0,0
