video_id,comment_id,is_reply,reply_to,comment_lenght,author,channel_id,root_channel_id,comment_publishedAt,seconds_after_video,seconds_after_comment,subscriber_count,video_count,view_count,bot,created_channel,comment_is_number
ZcMHnzuinUI,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,0,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,317,@LivLiam,UCXlXdndSdfx8YdBQR49EQsA,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:52:18Z,216490,0,0,0,0,1,318,0
ZcMHnzuinUI,ZcMHnzuinUI_UCn4zNVWRvme4vV4pqbaEteQ_1,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,193,@colwynn-v8v,UCn4zNVWRvme4vV4pqbaEteQ,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:53:26Z,216558,68,0,0,0,1,222,0
ZcMHnzuinUI,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_2,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,29,@LivLiam,UCXlXdndSdfx8YdBQR49EQsA,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:53:36Z,216568,78,0,0,0,1,318,0
ZcMHnzuinUI,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_3,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,22,@LivLiam,UCXlXdndSdfx8YdBQR49EQsA,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:53:45Z,216577,87,0,0,0,1,318,0
ZcMHnzuinUI,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_4,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,18,@LivLiam,UCXlXdndSdfx8YdBQR49EQsA,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:53:49Z,216581,91,0,0,0,1,318,0
ZcMHnzuinUI,ZcMHnzuinUI_UCn4zNVWRvme4vV4pqbaEteQ_5,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,31,@colwynn-v8v,UCn4zNVWRvme4vV4pqbaEteQ,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:53:54Z,216586,96,0,0,0,1,222,0
ZcMHnzuinUI,ZcMHnzuinUI_UCYX7iRjSpqjWYH4LjxW4GXQ_6,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,238,@Geraldfoda,UCYX7iRjSpqjWYH4LjxW4GXQ,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:54:56Z,216648,158,0,3,511,1,6739,0
ZcMHnzuinUI,ZcMHnzuinUI_UCKeTY3UxAKmd-bB0GV2T-2w_7,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,63,@AlejandroMorfa,UCKeTY3UxAKmd-bB0GV2T-2w,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:55:24Z,216676,186,0,0,0,1,385,0
ZcMHnzuinUI,ZcMHnzuinUI_UCVecvTErOa5MadKewtxexkA_8,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,177,@sfilipi,UCVecvTErOa5MadKewtxexkA,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:55:51Z,216703,213,0,6,101,1,6412,0
ZcMHnzuinUI,ZcMHnzuinUI_UCU4RmwOdOPXfqXV8ZNMayDQ_9,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,145,@tabascoward,UCU4RmwOdOPXfqXV8ZNMayDQ,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:56:14Z,216726,236,1,2,878,1,6335,0
ZcMHnzuinUI,ZcMHnzuinUI_UCQ6pyB_fXZN_ATw4hFindUQ_10,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,133,@BillyGilmartin,UCQ6pyB_fXZN_ATw4hFindUQ,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:56:38Z,216750,260,0,0,0,1,217,0
ZcMHnzuinUI,ZcMHnzuinUI_UCpsPDCn12q2b_F0Iuyzoq1A_11,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,211,@QuiricoSom,UCpsPDCn12q2b_F0Iuyzoq1A,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:57:04Z,216776,286,1,0,0,1,221,0
ZcMHnzuinUI,ZcMHnzuinUI_UCMOTlb3MTWCXGjgT9KnfY7Q_12,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,248,@cobetocxudibodihoc,UCMOTlb3MTWCXGjgT9KnfY7Q,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:57:28Z,216800,310,0,2,180,1,6626,0
ZcMHnzuinUI,ZcMHnzuinUI_UC89-CbmK8Qy8BDKxjWkZf_Q_13,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,135,@KAMRAMMUNIRA,UC89-CbmK8Qy8BDKxjWkZf_Q,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:57:51Z,216823,333,0,0,0,1,298,0
ZcMHnzuinUI,ZcMHnzuinUI_UCwBG-zrq0syFm8lLuvgvOsQ_14,1,ZcMHnzuinUI_UCXlXdndSdfx8YdBQR49EQsA_0,128,@glizanni,UCwBG-zrq0syFm8lLuvgvOsQ,UCXlXdndSdfx8YdBQR49EQsA,2025-06-22T02:58:12Z,216844,354,1,1,767,1,6179,0
ZcMHnzuinUI,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,0,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,199,@SergioRamos-x3o8u,UCqs72wQz8UiUBbN2ThLVvzg,UCqs72wQz8UiUBbN2ThLVvzg,2025-06-20T07:45:19Z,61271,0,0,0,0,1,33,0
ZcMHnzuinUI,ZcMHnzuinUI_UCrWIlyIr4wbe32HlAzabvdg_16,1,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,148,@JoseMaria-n5g,UCrWIlyIr4wbe32HlAzabvdg,UCqs72wQz8UiUBbN2ThLVvzg,2025-06-20T07:48:24Z,61456,185,0,0,0,1,31,0
ZcMHnzuinUI,ZcMHnzuinUI_UCfVLgZ6J9m0HCiMicmMzL-w_17,1,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,189,@AndreSousa-b2z,UCfVLgZ6J9m0HCiMicmMzL-w,UCqs72wQz8UiUBbN2ThLVvzg,2025-06-20T07:52:44Z,61716,445,0,0,0,1,33,0
ZcMHnzuinUI,ZcMHnzuinUI_UCB1oz7j3JingnDtV_Jps7nA_18,1,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,131,@AlmediaVero,UCB1oz7j3JingnDtV_Jps7nA,UCqs72wQz8UiUBbN2ThLVvzg,2025-06-20T07:58:42Z,62074,803,0,0,0,1,31,0
ZcMHnzuinUI,ZcMHnzuinUI_UCB1oz7j3JingnDtV_Jps7nA_19,1,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,22,@AlmediaVero,UCB1oz7j3JingnDtV_Jps7nA,UCqs72wQz8UiUBbN2ThLVvzg,2025-06-20T07:58:52Z,62084,813,0,0,0,1,31,0
ZcMHnzuinUI,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_20,1,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,10,@SergioRamos-x3o8u,UCqs72wQz8UiUBbN2ThLVvzg,UCqs72wQz8UiUBbN2ThLVvzg,2025-06-20T08:04:26Z,62418,1147,0,0,0,1,33,0
ZcMHnzuinUI,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_21,1,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,14,@SergioRamos-x3o8u,UCqs72wQz8UiUBbN2ThLVvzg,UCqs72wQz8UiUBbN2ThLVvzg,2025-06-20T08:04:39Z,62431,1160,0,0,0,1,33,0
ZcMHnzuinUI,ZcMHnzuinUI_UCZwY_uj38egCDqAeCBkqTtg_22,1,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,226,@HelioRodriguez-x3s,UCZwY_uj38egCDqAeCBkqTtg,UCqs72wQz8UiUBbN2ThLVvzg,2025-06-20T08:09:30Z,62722,1451,0,0,0,1,31,0
ZcMHnzuinUI,ZcMHnzuinUI_UCvLtxbNravz7_1oAyTbJmzQ_23,1,ZcMHnzuinUI_UCqs72wQz8UiUBbN2ThLVvzg_15,225,@RuhmViktoria,UCvLtxbNravz7_1oAyTbJmzQ,UCqs72wQz8UiUBbN2ThLVvzg,2025-06-20T08:14:23Z,63015,1744,0,0,0,1,34,0
ZcMHnzuinUI,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,0,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,138,@CeprenPoliski,UCGIMPsgmNttVKa4sHLF4LEw,UCGIMPsgmNttVKa4sHLF4LEw,2025-06-19T15:33:07Z,2939,0,0,0,0,0,74,0
ZcMHnzuinUI,ZcMHnzuinUI_UCtqvWgQoAOUWW0fLEgfBRvg_25,1,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,59,@Melinadin-r4p4h,UCtqvWgQoAOUWW0fLEgfBRvg,UCGIMPsgmNttVKa4sHLF4LEw,2025-06-19T15:33:52Z,2984,45,0,0,0,0,125,0
ZcMHnzuinUI,ZcMHnzuinUI_UCtqvWgQoAOUWW0fLEgfBRvg_26,1,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,109,@Melinadin-r4p4h,UCtqvWgQoAOUWW0fLEgfBRvg,UCGIMPsgmNttVKa4sHLF4LEw,2025-06-19T15:34:01Z,2993,54,0,0,0,0,125,0
ZcMHnzuinUI,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_27,1,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,67,@CeprenPoliski,UCGIMPsgmNttVKa4sHLF4LEw,UCGIMPsgmNttVKa4sHLF4LEw,2025-06-19T15:34:47Z,3039,100,0,0,0,0,74,0
ZcMHnzuinUI,ZcMHnzuinUI_UCtqvWgQoAOUWW0fLEgfBRvg_28,1,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,17,@Melinadin-r4p4h,UCtqvWgQoAOUWW0fLEgfBRvg,UCGIMPsgmNttVKa4sHLF4LEw,2025-06-19T15:35:42Z,3094,155,0,0,0,0,125,0
ZcMHnzuinUI,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_29,1,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,44,@CeprenPoliski,UCGIMPsgmNttVKa4sHLF4LEw,UCGIMPsgmNttVKa4sHLF4LEw,2025-06-19T15:36:28Z,3140,201,0,0,0,0,74,0
ZcMHnzuinUI,ZcMHnzuinUI_UCtqvWgQoAOUWW0fLEgfBRvg_30,1,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,18,@Melinadin-r4p4h,UCtqvWgQoAOUWW0fLEgfBRvg,UCGIMPsgmNttVKa4sHLF4LEw,2025-06-19T15:36:50Z,3162,223,0,0,0,0,125,0
ZcMHnzuinUI,ZcMHnzuinUI_UCtqvWgQoAOUWW0fLEgfBRvg_31,1,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,39,@Melinadin-r4p4h,UCtqvWgQoAOUWW0fLEgfBRvg,UCGIMPsgmNttVKa4sHLF4LEw,2025-06-19T15:37:00Z,3172,233,0,0,0,0,125,0
ZcMHnzuinUI,ZcMHnzuinUI_UCEGN4Tr-05nhH0cPrdS93YA_32,1,ZcMHnzuinUI_UCGIMPsgmNttVKa4sHLF4LEw_24,136,@RebicDorthe,UCEGN4Tr-05nhH0cPrdS93YA,UCGIMPsgmNttVKa4sHLF4LEw,2025-06-19T15:37:24Z,3196,257,1,0,0,0,74,0
