video_id,comment_id,is_reply,reply_to,comment_lenght,author,channel_id,root_channel_id,comment_publishedAt,seconds_after_video,seconds_after_comment,subscriber_count,video_count,view_count,bot,created_channel,comment_is_number
NnnsoYtqiFw,NnnsoYtqiFw_UCvklcDd5BGg_weXZ13AjOYA_0,0,NnnsoYtqiFw_UCvklcDd5BGg_weXZ13AjOYA_0,185,@Josiane-v6k,UCvklcDd5BGg_weXZ13AjOYA,UCvklcDd5BGg_weXZ13AjOYA,2025-05-19T21:42:57Z,258156,0,0,0,0,0,95,0
NnnsoYtqiFw,NnnsoYtqiFw_UCBJXa9AWdBDiT3EJCDuBM0w_1,1,NnnsoYtqiFw_UCvklcDd5BGg_weXZ13AjOYA_0,10,@massimolucaluzzatto,UCBJXa9AWdBDiT3EJCDuBM0w,UCvklcDd5BGg_weXZ13AjOYA,2025-05-19T22:00:27Z,259206,1050,0,0,0,0,878,0
NnnsoYtqiFw,NnnsoYtqiFw_UCOBrk1KgaT1jeaVvlgvB9XA_2,0,NnnsoYtqiFw_UCOBrk1KgaT1jeaVvlgvB9XA_2,70,@matheusmartinhak7556,UCOBrk1KgaT1jeaVvlgvB9XA,UCOBrk1KgaT1jeaVvlgvB9XA,2025-05-18T23:51:09Z,179448,0,0,0,0,0,3283,0
NnnsoYtqiFw,NnnsoYtqiFw_UCOBrk1KgaT1jeaVvlgvB9XA_3,1,NnnsoYtqiFw_UCOBrk1KgaT1jeaVvlgvB9XA_2,51,@matheusmartinhak7556,UCOBrk1KgaT1jeaVvlgvB9XA,UCOBrk1KgaT1jeaVvlgvB9XA,2025-05-18T23:51:41Z,179480,32,0,0,0,0,3283,0
NnnsoYtqiFw,NnnsoYtqiFw_UCVLQvmr4J-PlUQpE_huzY6Q_4,0,NnnsoYtqiFw_UCVLQvmr4J-PlUQpE_huzY6Q_4,336,@matheusphellipe2370,UCVLQvmr4J-PlUQpE_huzY6Q,UCVLQvmr4J-PlUQpE_huzY6Q,2025-05-18T02:48:44Z,103703,0,4,7,329,0,3122,0
NnnsoYtqiFw,NnnsoYtqiFw_UCSpVvQTpQnqdIq6Rhw3RXjA_5,1,NnnsoYtqiFw_UCVLQvmr4J-PlUQpE_huzY6Q_4,1,@BrunoFariasF7,UCSpVvQTpQnqdIq6Rhw3RXjA,UCVLQvmr4J-PlUQpE_huzY6Q,2025-05-18T17:13:00Z,155559,51856,54,9,508,0,3448,0
NnnsoYtqiFw,NnnsoYtqiFw_UC1iDOr2OAYlJD90a_Xl6d-g_6,1,NnnsoYtqiFw_UCVLQvmr4J-PlUQpE_huzY6Q_4,40,@aneliselaureano7131,UC1iDOr2OAYlJD90a_Xl6d-g,UCVLQvmr4J-PlUQpE_huzY6Q,2025-05-26T21:56:14Z,863753,760050,6,0,0,0,3277,0
NnnsoYtqiFw,NnnsoYtqiFw_UCRi-aDi2Q28QNlMSoZzk_ig_7,1,NnnsoYtqiFw_UCVLQvmr4J-PlUQpE_huzY6Q_4,59,@doraterini9243,UCRi-aDi2Q28QNlMSoZzk_ig,UCVLQvmr4J-PlUQpE_huzY6Q,2025-06-11T02:38:52Z,2176711,2073008,2,0,0,0,3444,0
NnnsoYtqiFw,NnnsoYtqiFw_UC1KcTh8zubYDuTNtgbQQ-GA_8,0,NnnsoYtqiFw_UC1KcTh8zubYDuTNtgbQQ-GA_8,85,@NemézioRodrigues,UC1KcTh8zubYDuTNtgbQQ-GA,UC1KcTh8zubYDuTNtgbQQ-GA,2025-05-17T16:28:14Z,66473,0,0,0,0,0,56,0
NnnsoYtqiFw,NnnsoYtqiFw_UC3MdaoSf9STffE2RhtcLMSQ_9,1,NnnsoYtqiFw_UC1KcTh8zubYDuTNtgbQQ-GA_8,23,@VisãodeJogo1,UC3MdaoSf9STffE2RhtcLMSQ,UC1KcTh8zubYDuTNtgbQQ-GA,2025-05-17T17:02:44Z,68543,2070,5,0,0,0,3449,0
