video_id,comment_id,is_reply,reply_to,comment_lenght,author,channel_id,root_channel_id,comment_publishedAt,seconds_after_video,seconds_after_comment,subscriber_count,video_count,view_count,bot,created_channel,comment_is_number
eb_g3u6Xc0c,eb_g3u6Xc0c_UCPX0gLduKAfgr-HJENa7CFw_0,0,eb_g3u6Xc0c_UCPX0gLduKAfgr-HJENa7CFw_0,249,@renatocariani,UCPX0gLduKAfgr-HJENa7CFw,UCPX0gLduKAfgr-HJENa7CFw,2025-06-16T22:40:54Z,160,0,7870000,5081,1586501953,0,3121,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCvIoyjE-YpvdSL5Ke74uWTA_1,1,eb_g3u6Xc0c_UCPX0gLduKAfgr-HJENa7CFw_0,164,@julianoaf,UCvIoyjE-YpvdSL5Ke74uWTA,UCPX0gLduKAfgr-HJENa7CFw,2025-06-16T23:59:15Z,4861,4701,0,0,0,0,1028,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCmjyjDJS3hODRdxuQ1yIa1g_2,1,eb_g3u6Xc0c_UCPX0gLduKAfgr-HJENa7CFw_0,29,@Jrspeedmax,UCmjyjDJS3hODRdxuQ1yIa1g,UCPX0gLduKAfgr-HJENa7CFw,2025-06-17T00:45:17Z,7623,7463,6,1,77,0,5646,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCB9CyzhCDwfW33dBbA4BDow_3,1,eb_g3u6Xc0c_UCPX0gLduKAfgr-HJENa7CFw_0,38,@unstoppablesoundsx,UCB9CyzhCDwfW33dBbA4BDow,UCPX0gLduKAfgr-HJENa7CFw,2025-06-17T01:30:47Z,10353,10193,15,1,460,0,2060,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCz8oxGMBj8SjVet22PHzuYg_4,1,eb_g3u6Xc0c_UCPX0gLduKAfgr-HJENa7CFw_0,266,@jonnyvids1,UCz8oxGMBj8SjVet22PHzuYg,UCPX0gLduKAfgr-HJENa7CFw,2025-06-17T14:47:16Z,58142,57982,846,45,298713,0,3148,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UC-T-VS93K47HT2_8D_9ggnA_5,0,eb_g3u6Xc0c_UC-T-VS93K47HT2_8D_9ggnA_5,77,@felipealmeida5990,UC-T-VS93K47HT2_8D_9ggnA,UC-T-VS93K47HT2_8D_9ggnA,2025-06-20T17:10:32Z,325938,0,1,1,29,0,3968,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCvFOVvM0z4uPNK89_E9LYaQ_6,1,eb_g3u6Xc0c_UC-T-VS93K47HT2_8D_9ggnA_5,99,@cleosantos3185,UCvFOVvM0z4uPNK89_E9LYaQ,UC-T-VS93K47HT2_8D_9ggnA,2025-06-21T16:47:09Z,410935,84997,31,8,1511,0,4257,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCCkk96BGS61ypKvEFiTxBjA_7,0,eb_g3u6Xc0c_UCCkk96BGS61ypKvEFiTxBjA_7,83,@fabioliverp,UCCkk96BGS61ypKvEFiTxBjA,UCCkk96BGS61ypKvEFiTxBjA,2025-06-18T19:46:22Z,162488,0,40,11,1081,0,3113,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCgHHKoezsBLPFgTIz_yaZQQ_8,1,eb_g3u6Xc0c_UCCkk96BGS61ypKvEFiTxBjA_7,92,@brunofranca3718,UCgHHKoezsBLPFgTIz_yaZQQ,UCCkk96BGS61ypKvEFiTxBjA,2025-06-19T10:19:10Z,214856,52368,1670,1179,317695,0,3337,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCxO5e9QtgpNhMqvlRkeuW8Q_9,1,eb_g3u6Xc0c_UCCkk96BGS61ypKvEFiTxBjA_7,45,@luidyenrique2540,UCxO5e9QtgpNhMqvlRkeuW8Q,UCCkk96BGS61ypKvEFiTxBjA,2025-06-19T13:52:05Z,227631,65143,5,16,180,0,3622,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UC0unDfLsDJo7H6x-yEcXEOA_10,1,eb_g3u6Xc0c_UCCkk96BGS61ypKvEFiTxBjA_7,76,@tomale1764,UC0unDfLsDJo7H6x-yEcXEOA,UCCkk96BGS61ypKvEFiTxBjA,2025-06-19T23:29:14Z,262260,99772,0,0,0,0,1253,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCAkfs18hkspuqWERrXhKqFg_11,0,eb_g3u6Xc0c_UCAkfs18hkspuqWERrXhKqFg_11,14,@Bololoko-OF,UCAkfs18hkspuqWERrXhKqFg,UCAkfs18hkspuqWERrXhKqFg,2025-06-18T14:05:55Z,142061,0,80,407,33201,0,3026,0
eb_g3u6Xc0c,eb_g3u6Xc0c_UCQUsirbBFNMAS4WhEx3T0JA_12,1,eb_g3u6Xc0c_UCAkfs18hkspuqWERrXhKqFg_11,41,@0liver4_01,UCQUsirbBFNMAS4WhEx3T0JA,UCAkfs18hkspuqWERrXhKqFg,2025-06-18T15:01:06Z,145372,3311,0,0,0,0,4,0
