video_id,comment_id,is_reply,reply_to,comment_lenght,author,channel_id,root_channel_id,comment_publishedAt,seconds_after_video,seconds_after_comment,subscriber_count,video_count,view_count,bot,created_channel,comment_is_number
rPXasD5We5k,rPXasD5We5k_UCPX0gLduKAfgr-HJENa7CFw_0,0,rPXasD5We5k_UCPX0gLduKAfgr-HJENa7CFw_0,135,@renatocariani,UCPX0gLduKAfgr-HJENa7CFw,UCPX0gLduKAfgr-HJENa7CFw,2025-06-18T20:11:05Z,0,0,7870000,5067,1584063012,0,3123,0
rPXasD5We5k,rPXasD5We5k_UCkV60c0paOjR_nGCcItXsog_1,1,rPXasD5We5k_UCPX0gLduKAfgr-HJENa7CFw_0,42,@jeremiasrt82,UCkV60c0paOjR_nGCcItXsog,UCPX0gLduKAfgr-HJENa7CFw,2025-06-18T23:31:23Z,5323,12018,0,0,0,0,4103,0
rPXasD5We5k,rPXasD5We5k_UC2cknDhF-gSB69LXMBobDWw_2,1,rPXasD5We5k_UCPX0gLduKAfgr-HJENa7CFw_0,85,@angleysonleal381,UC2cknDhF-gSB69LXMBobDWw,UCPX0gLduKAfgr-HJENa7CFw,2025-06-19T15:31:20Z,62920,69615,0,0,0,0,1846,0
rPXasD5We5k,rPXasD5We5k_UCqro92g2VJC4hLhvooDFLpQ_3,0,rPXasD5We5k_UCqro92g2VJC4hLhvooDFLpQ_3,53,@alcidesferreiraiii,UCqro92g2VJC4hLhvooDFLpQ,UCqro92g2VJC4hLhvooDFLpQ,2025-06-20T04:11:02Z,108502,0,67,16,32463,0,4108,0
rPXasD5We5k,rPXasD5We5k_UC4LrHzGE42vYtL3NEH3LHuw_4,1,rPXasD5We5k_UCqro92g2VJC4hLhvooDFLpQ_3,31,@gabriel0hz831,UC4LrHzGE42vYtL3NEH3LHuw,UCqro92g2VJC4hLhvooDFLpQ,2025-06-20T15:22:23Z,148783,40281,12,7,73,0,2408,0
rPXasD5We5k,rPXasD5We5k_UCgWE3QMJpZHbun1f2Gr1d8Q_5,0,rPXasD5We5k_UCgWE3QMJpZHbun1f2Gr1d8Q_5,18,@patricia9854,UCgWE3QMJpZHbun1f2Gr1d8Q,UCgWE3QMJpZHbun1f2Gr1d8Q,2025-06-19T18:48:07Z,74727,0,123,0,0,0,2657,0
rPXasD5We5k,rPXasD5We5k_UCYsqP2E7OX3L57PTPDSgESA_6,1,rPXasD5We5k_UCgWE3QMJpZHbun1f2Gr1d8Q_5,12,@ruanqueiroz575,UCYsqP2E7OX3L57PTPDSgESA,UCgWE3QMJpZHbun1f2Gr1d8Q,2025-06-19T22:08:19Z,86739,12012,0,0,0,0,2856,0
rPXasD5We5k,rPXasD5We5k_UCaxQB9LCzmzXe_4KHDZVhRQ_7,0,rPXasD5We5k_UCaxQB9LCzmzXe_4KHDZVhRQ_7,32,@antonygomesferreira6851,UCaxQB9LCzmzXe_4KHDZVhRQ,UCaxQB9LCzmzXe_4KHDZVhRQ,2025-06-19T17:40:16Z,70656,0,0,0,0,0,1916,0
rPXasD5We5k,rPXasD5We5k_UCJ6HV0avwmw8_3er6gpV1qA_8,1,rPXasD5We5k_UCaxQB9LCzmzXe_4KHDZVhRQ_7,33,@alexandrecosta9855,UCJ6HV0avwmw8_3er6gpV1qA,UCaxQB9LCzmzXe_4KHDZVhRQ,2025-06-20T13:46:20Z,143020,72364,14,0,0,0,4527,0
rPXasD5We5k,rPXasD5We5k_UClMvytidR4rys3PyzjYqYVw_9,0,rPXasD5We5k_UClMvytidR4rys3PyzjYqYVw_9,69,@marcelomiranda5652,UClMvytidR4rys3PyzjYqYVw,UClMvytidR4rys3PyzjYqYVw,2025-06-19T16:57:50Z,68110,0,0,0,0,0,1748,0
rPXasD5We5k,rPXasD5We5k_UC_TUTthrWTgdxzfijlunQJw_10,1,rPXasD5We5k_UClMvytidR4rys3PyzjYqYVw_9,9,@mikemt9728,UC_TUTthrWTgdxzfijlunQJw,UClMvytidR4rys3PyzjYqYVw,2025-06-19T17:45:23Z,70963,2853,3,0,0,0,3516,0
rPXasD5We5k,rPXasD5We5k_UCZrIU5IO5XnuOFlBNyetP5g_11,0,rPXasD5We5k_UCZrIU5IO5XnuOFlBNyetP5g_11,38,@Erickpgomez,UCZrIU5IO5XnuOFlBNyetP5g,UCZrIU5IO5XnuOFlBNyetP5g,2025-06-19T14:33:51Z,59471,0,50,5,549,0,4330,0
rPXasD5We5k,rPXasD5We5k_UCJmDVeknZeDfqmJz_ep0pPQ_12,1,rPXasD5We5k_UCZrIU5IO5XnuOFlBNyetP5g_11,12,@KarlosDanniel-m8f,UCJmDVeknZeDfqmJz_ep0pPQ,UCZrIU5IO5XnuOFlBNyetP5g,2025-06-19T19:33:12Z,77432,17961,1,0,0,0,66,0
rPXasD5We5k,rPXasD5We5k_UCQeDRT6mCDaR3H26aRCHisQ_13,0,rPXasD5We5k_UCQeDRT6mCDaR3H26aRCHisQ_13,138,@alexjp6880,UCQeDRT6mCDaR3H26aRCHisQ,UCQeDRT6mCDaR3H26aRCHisQ,2025-06-19T12:48:03Z,53123,0,2,0,0,0,3361,0
rPXasD5We5k,rPXasD5We5k_UCMmZj0x03lyhzajw8apVRZw_14,1,rPXasD5We5k_UCQeDRT6mCDaR3H26aRCHisQ_13,47,@LucasAlmeidaMG,UCMmZj0x03lyhzajw8apVRZw,UCQeDRT6mCDaR3H26aRCHisQ,2025-06-20T13:15:10Z,141150,88027,2780,14,49976,0,2692,0
rPXasD5We5k,rPXasD5We5k_UCXvhlRQN6o3nP0lWBu49sLg_15,0,rPXasD5We5k_UCXvhlRQN6o3nP0lWBu49sLg_15,148,@FailForDay,UCXvhlRQN6o3nP0lWBu49sLg,UCXvhlRQN6o3nP0lWBu49sLg,2025-06-19T12:35:02Z,52342,0,18,12,42984,0,77,0
rPXasD5We5k,rPXasD5We5k_UC_wGikr2S01lI56ViXqod7A_16,1,rPXasD5We5k_UCXvhlRQN6o3nP0lWBu49sLg_15,21,@sarah.rochaa,UC_wGikr2S01lI56ViXqod7A,UCXvhlRQN6o3nP0lWBu49sLg,2025-06-20T12:01:56Z,136756,84414,1,0,0,0,1901,0
rPXasD5We5k,rPXasD5We5k_UCvZmvSBsWG72QCyueHWus1A_17,0,rPXasD5We5k_UCvZmvSBsWG72QCyueHWus1A_17,53,@izaacbizinottoslz,UCvZmvSBsWG72QCyueHWus1A,UCvZmvSBsWG72QCyueHWus1A,2025-06-19T12:01:06Z,50306,0,19,1,32,0,3813,0
rPXasD5We5k,rPXasD5We5k_UCUfb5wDIV-3lkajQuKJLh5w_18,1,rPXasD5We5k_UCvZmvSBsWG72QCyueHWus1A_17,38,@IgorJose-vt9xh,UCUfb5wDIV-3lkajQuKJLh5w,UCvZmvSBsWG72QCyueHWus1A,2025-06-19T12:06:20Z,50620,314,0,0,0,0,414,0
rPXasD5We5k,rPXasD5We5k_UCdQOuMWu66f9tFniYisfnsw_19,0,rPXasD5We5k_UCdQOuMWu66f9tFniYisfnsw_19,186,@dozeroaosucesso.2577,UCdQOuMWu66f9tFniYisfnsw,UCdQOuMWu66f9tFniYisfnsw,2025-06-19T08:48:19Z,38739,0,20,8,37445,0,4247,0
rPXasD5We5k,rPXasD5We5k_UCJmDVeknZeDfqmJz_ep0pPQ_20,1,rPXasD5We5k_UCdQOuMWu66f9tFniYisfnsw_19,6,@KarlosDanniel-m8f,UCJmDVeknZeDfqmJz_ep0pPQ,UCdQOuMWu66f9tFniYisfnsw,2025-06-19T19:36:42Z,77642,38903,1,0,0,0,66,0
rPXasD5We5k,rPXasD5We5k_UCyGkNIGfM8vU7viuwfMqoKQ_21,0,rPXasD5We5k_UCyGkNIGfM8vU7viuwfMqoKQ_21,110,@oh_tauh_do_bololo6759,UCyGkNIGfM8vU7viuwfMqoKQ,UCyGkNIGfM8vU7viuwfMqoKQ,2025-06-19T04:48:03Z,24323,0,2,2,139,0,1985,0
rPXasD5We5k,rPXasD5We5k_UCJmDVeknZeDfqmJz_ep0pPQ_22,1,rPXasD5We5k_UCyGkNIGfM8vU7viuwfMqoKQ_21,11,@KarlosDanniel-m8f,UCJmDVeknZeDfqmJz_ep0pPQ,UCyGkNIGfM8vU7viuwfMqoKQ,2025-06-19T19:28:41Z,77161,52838,1,0,0,0,66,0
rPXasD5We5k,rPXasD5We5k_UCAxaLfhH6kJUghT2Ha2GrOA_23,0,rPXasD5We5k_UCAxaLfhH6kJUghT2Ha2GrOA_23,80,@o.isaac.oliveira,UCAxaLfhH6kJUghT2Ha2GrOA,UCAxaLfhH6kJUghT2Ha2GrOA,2025-06-19T04:36:23Z,23623,0,72,28,23650,0,266,0
